куриный;8
пенсионный;4
быстрый;28
крытый;8
безалкогольный;2
предыдущий;10
двухкомнатный;12
семейный;29
бесформенный;1
работоспособный;1
опрятный;6
скудный;10
чистый;185
подводный;12
гладильный;2
немецкий;27
свежий;55
удобный;57
внимательный;24
одинаковый;6
жесткий;13
сногсшибательный;1
дикий;3
медицинский;1
говорящий;3
добросердечный;1
молочный;3
раскладной;1
многоразовый;4
подземный;6
позитивный;6
высокий;22
староватый;1
чистенький;9
футбольный;4
песчаный;24
приставучий;8
комнатный;1
католический;2
мизерный;1
радушный;1
пыльный;1
пирожный;12
продуманный;7
овсяной;7
комплексный;2
каменистый;8
креативный;1
питьевой;4
левосторонний;1
приличный;49
нубийский;1
приватный;2
мальдивский;1
заботливый;2
вулканический;2
различный;29
мятый;1
эффективный;1
желудочно-кишечный;2
основный;100
занятый;7
гарантированный;2
арбузный;1
диванный;2
соседний;21
москитный;3
печеный;4
прихотливый;1
бойкий;2
выигрышный;1
песочный;1
длинный;8
любимый;11
ответственный;1
лицевой;1
интеллектуальный;1
липкий;1
массовый;1
душераздирающий;4
плавной;2
водяной;3
боковой;1
бассейный;18
переносной;1
выходной;4
неописуемый;2
проходной;1
столикий;4
земной;1
теплый;43
сладкий;25
проверенный;1
пляжный;17
соленый;5
престарелый;2
просторный;57
детский;63
бестолковый;5
раздвижной;2
красочный;3
подходящий;8
душевный;14
любящий;2
познавательный;4
дешевый;17
личный;21
финиковый;1
растворимый;10
добротный;7
предварительный;7
главный;54
экскурсионный;6
вежливый;54
обычный;19
тайский;8
игровой;2
живой;17
спортивный;7
серьезный;9
оригинальный;5
яркий;11
бешеный;1
стеклянный;6
ранний;5
смехотворный;3
энергичный;2
чудесный;5
хлипкий;2
вещий;3
фри;13
ковровый;4
взрослый;21
разноцветный;2
рыбный;8
хорошенький;3
весельный;1
услужливый;2
расчетный;5
фруктовый;21
красный;48
больший;137
фаршированный;7
злосчастный;2
субъективный;2
частный;6
частый;11
предвзятый;1
настоящий;10
национальный;6
бедуинский;1
интересный;38
специализированный;5
коралловый;14
соляный;2
достойный;17
фоновый;1
полупустой;1
доступный;7
забитый;1
знакомый;8
положительный;10
ставропольский;3
толстый;4
одетый;1
внутренний;7
определенный;3
позапрошлый;1
поздний;7
важный;18
успешный;1
платный;26
смешной;7
прекрасный;56
дачный;1
маринованный;3
крепкий;6
нескончаемый;1
индивидуальный;2
недозрелый;5
русский;126
ласковый;11
мороженный;13
одноцветный;2
заразительный;2
идиотский;5
скандинавский;2
мирный;6
приезжий;5
изумрудный;5
шоколадный;9
придирчивый;10
местный;82
улыбчивый;8
аккуратный;15
швейный;2
теннисный;1
оптимальный;2
желтый;13
чудовищный;1
жареный;15
суховатый;6
бездарный;3
курортный;1
одноразовый;6
обильный;1
обрядовый;1
транзитный;3
французский;13
изумительный;3
зеленый;70
состоятельный;6
прозрачный;9
часовой;8
символический;1
средневековый;1
танцевальный;7
апельсиновый;5
характерный;2
приятный;65
неизгладимый;3
береговой;12
компетентный;4
злой;1
доминиканский;4
стандартный;43
райский;3
сосновый;1
близлежащий;3
странный;1
разный;77
манящий;3
карибский;2
пеший;4
туристический;1
широкий;11
стильный;4
летучий;12
усовершенствованный;2
изнурительный;1
деликатный;1
последовательный;1
мертвый;4
узкий;36
красивый;156
всевозможный;8
рваный;3
овсяный;7
хамский;1
безоблачный;4
экономичный;2
таинственный;1
приветливый;42
активный;2
мандариновый;1
очаровательный;3
братский;2
конкретный;4
отменный;1
порционный;5
древний;3
газированный;3
красноватый;3
речной;1
случайный;1
извилистый;1
грамотный;3
служилый;2
дополнительный;8
супер;22
драгоценный;2
вышитый;3
прошлый;18
предпенсионный;4
пенсионерский;1
разнокалиберный;3
адекватный;1
животный;6
столовый;14
деревянный;5
густой;3
мобильный;1
страшненький;1
бронзовый;3
испанский;14
рабочий;4
подобный;5
переполненный;1
новый;92
молодежный;1
негативный;10
обходительный;3
мягкий;8
замечательный;16
тигровый;3
крутой;5
дизель;2
мелочный;1
термальный;1
московский;9
адресный;1
спелый;2
отельный;9
восточный;14
разливный;1
однодневный;1
тортовый;1
вареный;10
каталонский;2
светлый;15
вышеизложенный;2
шенгенский;3
дневной;10
парный;4
порошковый;1
манный;2
солнечный;2
подводной;6
дальнейший;4
раздельный;1
огненный;1
отзывчивый;8
горячий;37
столовский;2
увлекательный;2
общий;76
круглый;10
денежный;1
мексиканский;6
традиционный;5
старинный;12
благоустроенный;6
автобусный;2
русскоязычный;8
послеобеденный;2
студенческий;1
легкий;12
современный;15
мрачноватый;1
тематический;7
безуспешный;2
съедобный;1
дружеский;2
сытный;12
серебряный;8
белоснежный;3
ананасовый;2
переливчатый;10
чешский;11
томатный;2
высоченный;1
общеупотребительный;2
питательный;2
захватывающий;4
мраморный;1
фунтовый;3
трехлетний;4
паркий;4
правый;7
вьетнамский;1
приморский;4
взаимный;4
старый;56
желтенький;1
тихий;41
парикмахерский;4
твердый;3
грязный;29
жирный;17
застиранный;1
британский;2
гипотетический;6
редкий;6
застенчивый;2
указанный;5
ужиный;24
привокзальный;2
новенький;3
яблочный;2
рисовый;8
мангровый;3
тепленький;1
полый;4
метровый;5
чудной;5
горный;2
безвкусный;1
симпатичный;12
разнообразный;56
лесной;2
осветительный;4
заварной;2
розовый;21
скромный;6
плавный;4
сердитый;1
настольный;9
готовый;10
минеральный;2
развлекательный;8
принципиальный;1
сносный;11
родной;1
минутный;2
ванный;48
сидячий;1
основной;100
мучной;1
свободный;20
соляной;2
паспортный;2
беспроблемный;1
срочный;4
хорватский;1
целый;48
оздоровительный;3
кулинарный;1
хамоватый;2
оживленный;2
мелкий;22
комбинированный;1
примитивный;2
славянский;3
лихорадочный;3
недельный;1
скромненький;2
белый;77
парной;4
карликовый;3
щедрый;2
забывчивый;2
умиротворенный;1
святой;1
разумный;2
прикольный;1
ядовитый;1
приточный;1
шикарный;20
большой;164
пластиковый;12
собственный;18
качественный;17
сумасшедший;5
безусловный;6
однокомнатный;1
изнуряющий;2
жалкий;2
обширный;2
темный;9
далекий;21
отвратительный;5
российский;4
коричневый;8
шампанский;5
ржавый;3
постсоветский;4
административный;8
долгожданный;1
рыбацкий;3
малый;45
военный;1
нищий;1
дорогой;5
согласный;1
застывший;3
домашний;6
многолюдный;1
крупный;12
жадный;3
стыдный;2
западный;1
тяжелый;2
здоровый;15
убогий;4
полуподвальный;1
сказочный;6
международный;28
лишний;4
страшный;7
пик;2
должный;5
возможный;20
мутноватый;2
откровенный;5
скорый;2
честной;3
ладный;5
бюджетный;2
отвратный;2
радикальный;3
душный;5
концертный;3
холодный;37
слабенький;3
здравый;1
абрикосовый;3
страшноватый;3
старший;2
шаровой;3
бумажный;7
уличный;6
совершенный;9
долгий;25
брезгливый;1
респектабельный;3
гостиничный;6
реальный;0
потертый;3
доблестный;1
проливный;1
колонный;1
добровольный;2
плохой;13
разномастный;5
мутный;9
естественный;3
вероятный;5
пальмовый;3
входящий;3
нефтяной;2
длительный;1
неформальный;1
непосредственный;5
человеческий;1
честный;20
тщательный;2
тесноватый;1
обратный;11
двухместный;3
галечный;1
вялый;1
непрезентабельный;2
известный;10
крайний;18
северный;1
гранатовый;3
жуткий;8
затянутый;3
видимый;13
резаный;2
безрадостный;2
отрицательный;4
картонный;6
смелый;1
немногочисленный;4
обменный;1
существенный;4
влюбленный;2
строгий;3
стремительный;3
верный;3
открытый;14
желательный;2
столичный;5
рождественский;1
бесполезный;3
проблематичный;1
воспитанный;3
будущий;5
выгодный;2
удачный;5
деревенский;2
подробный;2
американский;3
бесконечный;5
европейский;15
прохладный;8
относительный;6
зубной;1
безобразный;7
подавляющий;1
междугородний;1
александрийский;2
похожий;5
разовый;3
глубокий;3
посильный;1
цивильный;4
бытовой;4
гордый;4
худой;8
тяжкий;1
дороговатый;2
принятый;2
немой;5
бедный;4
радостный;5
пожилой;16
полный;26
минский;3
больной;7
минимальный;5
летний;5
пустой;14
довольный;13
налитой;7
напольный;1
неразбавленный;1
точный;13
позорный;5
компактный;5
экономный;3
гостевой;1
бодрый;10
мистический;2
безразличный;1
модный;5
спальный;2
передний;1
слабый;4
здоровенный;1
балльный;2
чернильный;3
иностранный;5
практический;1
парадоксальный;2
жаркий;7
люкс;6
моментальный;1
новорожденный;3
центровой;3
заветный;1
десятиэтажный;3
особенный;35
противоположный;7
обеденный;1
нижний;1
пятиэтажный;3
низкий;12
гулкий;8
прямой;30
лыжный;1
совкий;1
плюсовый;1
закрытый;3
стекольный;2
влажный;5
самостоятельный;5
мощный;3
скучный;5
проливной;1
искусственный;2
осторожный;2
недопустимый;3
лимонный;7
опасный;3
соответственный;9
многоэтажный;6
доморощенный;2
особый;32
организованный;6
безлюдный;10
претенциозный;4
преимущественный;1
лысый;3
бракованный;2
советский;25
ежедневный;4
примерный;15
предусмотрительный;1
абсолютный;18
заоблачный;2
понятный;-8
ленивый;6
маленький;124
исключительный;5
противный;2
действительный;12
населенный;1
равный;14
частичный;5
музыкальный;1
новогодний;17
экзотический;2
видный;11
фиксированный;1
конечный;39
холодненький;1
непривычный;1
пасмурный;5
плотный;2
натуральный;8
сложный;1
трепетный;1
равномерный;2
ближний;5
туристский;5
пенный;3
близкий;16
живописный;6
голодный;8
крошечный;5
материальный;2
киевский;1
сильный;31
крохотный;4
однозначный;4
слышный;9
единственный;21
пристальный;5
профессиональный;6
синтетический;1
плавленый;7
значительный;5
золотой;4
простой;103
визуальный;3
сосредоточенный;2
внешний;10
аккуратненький;2
цивилизованный;4
мусульманский;3
культурный;5
базарный;2
грустный;7
ведущий;6
забойный;5
вечный;2
сложноватый;2
трудный;4
бобовый;2
обязанный;1
бедненький;0
железный;3
фирменный;8
муторный;1
популярный;6
продуктовый;8
ужасный;22
трезвый;4
ровный;5
тесный;11
утомительный;1
гостиный;3
возрастной;1
четкий;3
торговый;5
трехместный;2
обидный;7
явный;4
барский;2
сонный;5
достаточный;47
шелковый;2
немытый;4
постоянный;27
одновременный;3
безумный;11
интернациональный;3
полезный;1
шумный;25
спиртной;9
жилой;12
протянутый;2
банный;1
гнетущий;3
масляный;1
добрый;3
монументальный;2
необходимый;14
колоссальный;1
информативный;2
отстойный;-1
жидкий;14
белорусский;3
зимний;2
оптимистический;2
уединенный;1
